Ref,Val,Package,PosX,PosY,Rot,Side
"R2211","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.000000,-120.000000,0.000000,top
"R2301","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,-115.000000,-90.000000,top
"T1201","XFMR_RF_BIFILAR","XFMR_Handwound_FT37",220.000000,-64.500000,90.000000,top
"T1401","XFMR_RF_BIFILAR","XFMR_Handwound_FT37",166.000000,-81.500000,180.000000,top
"T1402","XFMR_RF_BIFILAR","XFMR_Handwound_FT37",186.000000,-58.000000,180.000000,top
"T1601","XFMR_RF_BIFILAR","XFMR_Handwound_FT37",100.000000,-70.000000,90.000000,top
"T1801","FT37-43","XFMR_Handwound_FT37",130.500000,-142.000000,180.000000,top
"TP801","TESTPINTPSQ025","TESTPIN",219.500000,-133.500000,0.000000,top
"TP802","TESTPINTPSQ025","TESTPIN",209.500000,-136.500000,0.000000,top
"TP803","TESTPINTPSQ025","TESTPIN",209.500000,-120.000000,0.000000,top
"TP901","TESTPINTPSQ025","TESTPIN",114.000000,-56.000000,0.000000,top
"TP902","TESTPINTPSQ025","TESTPIN",84.000000,-79.000000,0.000000,top
"TP2301","TESTPINTPSQ025","TESTPIN",87.000000,-90.000000,0.000000,top
"TP2302","TESTPINTPSQ025","TESTPIN",141.000000,-73.000000,0.000000,top
"TP2303","TESTPINTPSQ025","TESTPIN",229.500000,-62.500000,0.000000,top
"TP2304","TESTPINTPSQ025","TESTPIN",70.090000,-123.890000,0.000000,top
"U301","24CW640","SOT23-5-SAR",234.500000,-115.000000,0.000000,top
"U303","74LVC1G00","SOT23-5-SAR",208.000000,-89.000000,0.000000,top
"U401","PCA9554APW","TSSOP-16_4.4x5mm_P0.65mm",225.000000,-114.500000,0.000000,top
"U901","LMC6482","SOIC8N-SAR",84.000000,-67.000000,0.000000,top
"U1001","AS169-73","SOT-23-6",136.000000,-79.000000,0.000000,top
"U1002","AS169-73","SOT-23-6",141.000000,-84.000000,180.000000,top
"U1201","AS169-73","SOT-23-6",207.500000,-76.500000,180.000000,top
"U1202","AS169-73","SOT-23-6",198.500000,-67.500000,180.000000,top
"U1402","AS169-73","SOT-23-6",156.000000,-76.000000,180.000000,top
"U1601","ADE-1","MCL-6-SMD_7R97X5R59",111.000000,-86.000000,180.000000,top
"U2001","ADE-1","MCL-6-SMD_7R97X5R59",151.000000,-136.000000,180.000000,top
"U2101","LM380N","DIP-14_W7.62mm_Socket_LongPads",216.000000,-108.000000,90.000000,top
"U2201","DG449DS-T1-E3","SOT-23-8_Handsoldering",110.000000,-108.000000,90.000000,top
"U2202","LMC6482","SOIC8N-SAR",83.000000,-113.000000,180.000000,top
"U2203","LMC6482","SOIC8N-SAR",94.000000,-121.000000,0.000000,top
"VR301","ME6211A33M3G-N","SOT23-3-SAR-V2",224.500000,-129.750000,-90.000000,top
"VR801","NCP1117-5.0_SOT223","SOT-223-TAB-2-SAR",225.500000,-139.750000,90.000000,top
"VR802","MC78M08CDTRKG","TO-252-3_TabPin2",228.175000,-78.750000,180.000000,top
"Y1501","45.1 MHz","MCF-1.875_7.8x3.2",159.000000,-57.000000,180.000000,top
"Y1502","45.1 MHz","MCF-1.875_7.8x3.2",149.500000,-57.000000,0.000000,top
"Y1701","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",55.000000,-96.000000,-90.000000,top
"Y1702","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",61.000000,-103.000000,-90.000000,top
"Y1703","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",55.000000,-110.000000,-90.000000,top
"Y1704","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",63.000000,-131.000000,180.000000,top
"Y1705","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",58.000000,-138.000000,0.000000,top
"Y1706","12.288 MHz","Crystal_HC49_Vertical_With_Grounding_Pad",66.000000,-145.000000,0.000000,top
