Ref,Val,Package,PosX,PosY,Rot,Side
"R2122","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.000000,-69.000000,270.000000,top
"R2123","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.500000,-65.000000,270.000000,top
"R2301","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",202.500000,-82.500000,270.000000,top
"R2302","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",194.500000,-73.000000,90.000000,top
"R2303","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.500000,-82.500000,0.000000,top
"R2304","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",209.500000,-73.000000,0.000000,top
"R2305","2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-56.500000,270.000000,top
"R2306","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.000000,-72.000000,90.000000,top
"R2307","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.000000,-67.500000,90.000000,top
"R2308","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.900000,-75.600000,0.000000,top
"R2309","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",212.500000,-58.000000,180.000000,top
"R2310","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,-62.000000,180.000000,top
"R2311","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-66.500000,90.000000,top
"R2312","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",210.500000,-66.500000,270.000000,top
"U401","24CW640","SOT23-5-SAR",234.500000,-115.000000,0.000000,top
"U403","74LVC1G00","SOT23-5-SAR",208.000000,-89.000000,0.000000,top
"U501","PCA9554APW","TSSOP-16_4.4x5mm_P0.65mm",225.000000,-114.500000,0.000000,top
"U801","ADE-1","MCL-6-SMD_7R97X5R59",111.000000,-86.000000,180.000000,top
"U1101","DG449DS-T1-E3","SOT-23-8_Handsoldering",110.000000,-108.000000,90.000000,top
"U1102","LMC6482","SOIC8N-SAR",83.000000,-113.000000,180.000000,top
"U1103","LMC6482","SOIC8N-SAR",94.000000,-121.000000,0.000000,top
"U1301","ADE-1","MCL-6-SMD_7R97X5R59",151.000000,-136.000000,180.000000,top
"U1701","LMC6482","SOIC8N-SAR",84.000000,-67.000000,0.000000,top
"U1801","AS169-73","SOT-23-6_Handsoldering",136.000000,-79.000000,0.000000,top
"U1802","AS169-73","SOT-23-6_Handsoldering",141.000000,-84.000000,180.000000,top
"U2102","AS169-73","SOT-23-6",156.000000,-76.000000,180.000000,top
"U2301","AS169-73","SOT-23-6",207.500000,-76.500000,180.000000,top
"U2302","AS169-73","SOT-23-6",198.500000,-67.500000,180.000000,top
"VR401","ME6211A33M3G-N","SOT23-3-SAR",224.500000,-130.000000,180.000000,top
"VR1601","NCP1117-5.0_SOT223","SOT-223-3_TabPin2",225.500000,-139.500000,180.000000,top
